media_candidate_id,image_filename,image_sha256,scenario_id,group_id,event_label,sample_role,split,split_reason,source_type,event_definition_version
,01_p01-supine-on-floor-01.png,3f8831314ec9403dafb006291009877fe8a2d85b9930710f92a6048b23d50c70,pf_v2_aigc_p01-supine-on-floor,pf_v2_aigc_p01-supine-on-floor,1,positive,DEV,first deterministic role-group tranche,ai_generated,v2.0
,02_p01-supine-on-floor-02.png,0efbb9f5706f84c5382a0ba30bec46d35ed7b875072c5dbea115139e58a47d8a,pf_v2_aigc_p01-supine-on-floor,pf_v2_aigc_p01-supine-on-floor,1,positive,DEV,first deterministic role-group tranche,ai_generated,v2.0
,03_p01-supine-on-floor-03.png,00226efe88ae972b085592e830ecd461400e627e3f30514aa0bc5174fefc707d,pf_v2_aigc_p01-supine-on-floor,pf_v2_aigc_p01-supine-on-floor,1,positive,DEV,first deterministic role-group tranche,ai_generated,v2.0
,04_p01-supine-on-floor-04.png,b2c04a5ef00e87142592beb2ab5dade093473c24353132baa4f9fa651be1a6a4,pf_v2_aigc_p01-supine-on-floor,pf_v2_aigc_p01-supine-on-floor,1,positive,DEV,first deterministic role-group tranche,ai_generated,v2.0
,05_p01-supine-on-floor-05.png,5c47f738bf7bbfe499cb85f5b8ab7601c3229c4405845c536d6e814c64dc6c79,pf_v2_aigc_p01-supine-on-floor,pf_v2_aigc_p01-supine-on-floor,1,positive,DEV,first deterministic role-group tranche,ai_generated,v2.0
,06_p01-supine-on-floor-06.png,9dc8c1e15e4e31d1c22d5a868a207d56530752c6902fa9c678d824ba7a6e8bb6,pf_v2_aigc_p01-supine-on-floor,pf_v2_aigc_p01-supine-on-floor,1,positive,DEV,first deterministic role-group tranche,ai_generated,v2.0
,07_p01-supine-on-floor-07.png,2d18f5d7a8e1fb5d146ba1167c7a02d08ea63e72f6c3dacfcce8997cd19695b2,pf_v2_aigc_p01-supine-on-floor,pf_v2_aigc_p01-supine-on-floor,1,positive,DEV,first deterministic role-group tranche,ai_generated,v2.0
,08_p01-supine-on-floor-08.png,abc8eeef34ef97fc9ac4511ae695e911ec950c384ff3a959cf1a05e24955588e,pf_v2_aigc_p01-supine-on-floor,pf_v2_aigc_p01-supine-on-floor,1,positive,DEV,first deterministic role-group tranche,ai_generated,v2.0
,09_p01-supine-on-floor-09.png,4791a565447bec69f60b175570fb4bdb5efc1dde5d2474f50073b03398cd012e,pf_v2_aigc_p01-supine-on-floor,pf_v2_aigc_p01-supine-on-floor,1,positive,DEV,first deterministic role-group tranche,ai_generated,v2.0
,100_p10-partially-occluded-fallen-person-10.png,663731c7d5fa6323b5b1a136d1cef8a31364fd4e96752a4af1949592156d9a4a,pf_v2_aigc_p10-partially-occluded-fallen-person,pf_v2_aigc_p10-partially-occluded-fallen-person,1,positive,DEV,first deterministic role-group tranche,ai_generated,v2.0
,101_p11-small-target-far-distance-01.png,f327b0dcb961def4c67f39a4c460daae976157cf6017b79d643f3fc3d55af1e6,pf_v2_aigc_p11-small-target-far-distance,pf_v2_aigc_p11-small-target-far-distance,1,positive,DEV,first deterministic role-group tranche,ai_generated,v2.0
,102_p11-small-target-far-distance-02.png,7dd82c1193905c39dd7f736b62b0940445267a7d522c490745e1974ef0adc9a3,pf_v2_aigc_p11-small-target-far-distance,pf_v2_aigc_p11-small-target-far-distance,1,positive,DEV,first deterministic role-group tranche,ai_generated,v2.0
,103_p11-small-target-far-distance-03.png,ec6a6a7279346eb6b1a4a3163a99c66b8b405ccf20e3a0e3cf33d5bfb6930720,pf_v2_aigc_p11-small-target-far-distance,pf_v2_aigc_p11-small-target-far-distance,1,positive,DEV,first deterministic role-group tranche,ai_generated,v2.0
,104_p11-small-target-far-distance-04.png,f26f261140525e10c003f8427e3e0bb8d614b6aa4e14ff6856dd039b13a1137d,pf_v2_aigc_p11-small-target-far-distance,pf_v2_aigc_p11-small-target-far-distance,1,positive,DEV,first deterministic role-group tranche,ai_generated,v2.0
,105_p11-small-target-far-distance-05.png,52728e6db03a58114bd6d0faed5cba15585186d757237594ab5c2912ca4ce2ca,pf_v2_aigc_p11-small-target-far-distance,pf_v2_aigc_p11-small-target-far-distance,1,positive,DEV,first deterministic role-group tranche,ai_generated,v2.0
,106_p11-small-target-far-distance-06.png,70f969de8c82a8dc3fda0e7f36862d19da8c5cfc5d9340a33050a3da6e68b349,pf_v2_aigc_p11-small-target-far-distance,pf_v2_aigc_p11-small-target-far-distance,1,positive,DEV,first deterministic role-group tranche,ai_generated,v2.0
,107_p11-small-target-far-distance-07.png,d8f59162f45467f3e783a0ce414dafcbbd077df657c422332b88dea4213aded4,pf_v2_aigc_p11-small-target-far-distance,pf_v2_aigc_p11-small-target-far-distance,1,positive,DEV,first deterministic role-group tranche,ai_generated,v2.0
,108_p11-small-target-far-distance-08.png,f35b1ba98530a2038160a370e963a0890fd4bbc846f3a97330e2a8f0b2300ef6,pf_v2_aigc_p11-small-target-far-distance,pf_v2_aigc_p11-small-target-far-distance,1,positive,DEV,first deterministic role-group tranche,ai_generated,v2.0
,109_p11-small-target-far-distance-09.png,a845ea4ea68b331dc883ec7e9b81d613a0d71b5a12f0ff22ea26078d325592a8,pf_v2_aigc_p11-small-target-far-distance,pf_v2_aigc_p11-small-target-far-distance,1,positive,DEV,first deterministic role-group tranche,ai_generated,v2.0
