image_filename,scenario_id,group_id,prompt_group,event_label,sample_role,split,split_reason
01_p01-supine-on-floor-01.png,pf_v2_aigc_p01-supine-on-floor,pf_v2_aigc_p01-supine-on-floor,p01-supine-on-floor,1,positive,DEV,first deterministic role-group tranche
02_p01-supine-on-floor-02.png,pf_v2_aigc_p01-supine-on-floor,pf_v2_aigc_p01-supine-on-floor,p01-supine-on-floor,1,positive,DEV,first deterministic role-group tranche
03_p01-supine-on-floor-03.png,pf_v2_aigc_p01-supine-on-floor,pf_v2_aigc_p01-supine-on-floor,p01-supine-on-floor,1,positive,DEV,first deterministic role-group tranche
04_p01-supine-on-floor-04.png,pf_v2_aigc_p01-supine-on-floor,pf_v2_aigc_p01-supine-on-floor,p01-supine-on-floor,1,positive,DEV,first deterministic role-group tranche
05_p01-supine-on-floor-05.png,pf_v2_aigc_p01-supine-on-floor,pf_v2_aigc_p01-supine-on-floor,p01-supine-on-floor,1,positive,DEV,first deterministic role-group tranche
06_p01-supine-on-floor-06.png,pf_v2_aigc_p01-supine-on-floor,pf_v2_aigc_p01-supine-on-floor,p01-supine-on-floor,1,positive,DEV,first deterministic role-group tranche
07_p01-supine-on-floor-07.png,pf_v2_aigc_p01-supine-on-floor,pf_v2_aigc_p01-supine-on-floor,p01-supine-on-floor,1,positive,DEV,first deterministic role-group tranche
08_p01-supine-on-floor-08.png,pf_v2_aigc_p01-supine-on-floor,pf_v2_aigc_p01-supine-on-floor,p01-supine-on-floor,1,positive,DEV,first deterministic role-group tranche
09_p01-supine-on-floor-09.png,pf_v2_aigc_p01-supine-on-floor,pf_v2_aigc_p01-supine-on-floor,p01-supine-on-floor,1,positive,DEV,first deterministic role-group tranche
100_p10-partially-occluded-fallen-person-10.png,pf_v2_aigc_p10-partially-occluded-fallen-person,pf_v2_aigc_p10-partially-occluded-fallen-person,p10-partially-occluded-fallen-person,1,positive,DEV,first deterministic role-group tranche
101_p11-small-target-far-distance-01.png,pf_v2_aigc_p11-small-target-far-distance,pf_v2_aigc_p11-small-target-far-distance,p11-small-target-far-distance,1,positive,DEV,first deterministic role-group tranche
102_p11-small-target-far-distance-02.png,pf_v2_aigc_p11-small-target-far-distance,pf_v2_aigc_p11-small-target-far-distance,p11-small-target-far-distance,1,positive,DEV,first deterministic role-group tranche
103_p11-small-target-far-distance-03.png,pf_v2_aigc_p11-small-target-far-distance,pf_v2_aigc_p11-small-target-far-distance,p11-small-target-far-distance,1,positive,DEV,first deterministic role-group tranche
104_p11-small-target-far-distance-04.png,pf_v2_aigc_p11-small-target-far-distance,pf_v2_aigc_p11-small-target-far-distance,p11-small-target-far-distance,1,positive,DEV,first deterministic role-group tranche
105_p11-small-target-far-distance-05.png,pf_v2_aigc_p11-small-target-far-distance,pf_v2_aigc_p11-small-target-far-distance,p11-small-target-far-distance,1,positive,DEV,first deterministic role-group tranche
106_p11-small-target-far-distance-06.png,pf_v2_aigc_p11-small-target-far-distance,pf_v2_aigc_p11-small-target-far-distance,p11-small-target-far-distance,1,positive,DEV,first deterministic role-group tranche
107_p11-small-target-far-distance-07.png,pf_v2_aigc_p11-small-target-far-distance,pf_v2_aigc_p11-small-target-far-distance,p11-small-target-far-distance,1,positive,DEV,first deterministic role-group tranche
108_p11-small-target-far-distance-08.png,pf_v2_aigc_p11-small-target-far-distance,pf_v2_aigc_p11-small-target-far-distance,p11-small-target-far-distance,1,positive,DEV,first deterministic role-group tranche
109_p11-small-target-far-distance-09.png,pf_v2_aigc_p11-small-target-far-distance,pf_v2_aigc_p11-small-target-far-distance,p11-small-target-far-distance,1,positive,DEV,first deterministic role-group tranche
10_p01-supine-on-floor-10.png,pf_v2_aigc_p01-supine-on-floor,pf_v2_aigc_p01-supine-on-floor,p01-supine-on-floor,1,positive,DEV,first deterministic role-group tranche
