media_id,image_path,image_sha256,event_label,sample_role,scenario_id,group_id,original_split,p2_internal_role,source_type,selection_reason
IMG_004002,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/21_p03-prone-on-floor-01.png,f0afef1f06a16d9f91cbc9eb9a52cecd79d692a10c0624b6f169255a562f6374,1,positive,pf_v2_aigc_p03-prone-on-floor,pf_v2_aigc_p03-prone-on-floor,DEV,P2_DESIGN,ai_generated,deterministic_round_robin_positive_from_p2_design
IMG_004022,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/41_p05-side-lying-on-floor-01.png,2a56166420080f6334e879608539170bdb9c06953e57519f7df004838705a3e2,1,positive,pf_v2_aigc_p05-side-lying-on-floor,pf_v2_aigc_p05-side-lying-on-floor,DEV,P2_DESIGN,ai_generated,deterministic_round_robin_positive_from_p2_design
IMG_004032,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/51_p06-side-lying-on-floor-01.png,543366363d22efbbb907b006f3f86b877eea519fe5c6c98dad0cd699d9078b8f,1,positive,pf_v2_aigc_p06-side-lying-on-floor,pf_v2_aigc_p06-side-lying-on-floor,DEV,P2_DESIGN,ai_generated,deterministic_round_robin_positive_from_p2_design
IMG_004042,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/61_p07-irregular-sprawled-posture-01.png,cb3fc95186cc9c5c8dba3642c4f7c827e2db6f76e0bc774ca4877489681ba90a,1,positive,pf_v2_aigc_p07-irregular-sprawled-posture,pf_v2_aigc_p07-irregular-sprawled-posture,DEV,P2_DESIGN,ai_generated,deterministic_round_robin_positive_from_p2_design
IMG_003882,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/201_n01-normal-standing-01.png,457cfa92c5ab41f354d579c4d14852a123235fc8e559db33a211b7302b050029,0,negative,pf_v2_aigc_n01-normal-standing,pf_v2_aigc_n01-normal-standing,DEV,P2_DESIGN,ai_generated,deterministic_round_robin_negative_from_p2_design
IMG_003912,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/231_n04-normal-seated-on-chair-stool-01.png,9968329187d7c0273dcc1769c05d88e846009f0fd54a7d280664fca6706c0a46,0,negative,pf_v2_aigc_n04-normal-seated-on-chair-stool,pf_v2_aigc_n04-normal-seated-on-chair-stool,DEV,P2_DESIGN,ai_generated,deterministic_round_robin_negative_from_p2_design
IMG_003922,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/241_n05-normal-work-activity-01.png,9f097226ab0671e7a218fd1c82a58aebe647087f9a516133b29a28046bfc2abc,0,negative,pf_v2_aigc_n05-normal-work-activity,pf_v2_aigc_n05-normal-work-activity,DEV,P2_DESIGN,ai_generated,deterministic_round_robin_negative_from_p2_design
IMG_003932,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/251_n06-normal-work-activity-01.png,0d5585e07f3b9fedc834975e2be54f134752f0ccb301ee4e02cd2c06106f94c8,0,negative,pf_v2_aigc_n06-normal-work-activity,pf_v2_aigc_n06-normal-work-activity,DEV,P2_DESIGN,ai_generated,deterministic_round_robin_negative_from_p2_design
IMG_003712,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/311_h02-sitting-on-floor-01.png,a08dc0677c5f0c67aecd4897fe8c39f6112c2732b2182b3d889b03b5a98b617d,0,hard_negative,pf_v2_aigc_h02-sitting-on-floor,pf_v2_aigc_h02-sitting-on-floor,DEV,P2_DESIGN,ai_generated,deterministic_round_robin_hard_negative_from_p2_design
IMG_003722,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/321_h03-kneeling-01.png,8abaec058bf120acbbc5434c306d186beb4b4ab37623f024a025f10b349d0950,0,hard_negative,pf_v2_aigc_h03-kneeling,pf_v2_aigc_h03-kneeling,DEV,P2_DESIGN,ai_generated,deterministic_round_robin_hard_negative_from_p2_design
IMG_003732,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/331_h04-kneeling-01.png,5c88c36cb9519b09e448c3487508aa73ed4bd2a763f46680bf9322017a3df9e0,0,hard_negative,pf_v2_aigc_h04-kneeling,pf_v2_aigc_h04-kneeling,DEV,P2_DESIGN,ai_generated,deterministic_round_robin_hard_negative_from_p2_design
IMG_003742,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/341_h05-squatting-01.png,c9a1818d75502dd3d49f09aec32fd72a5c3d4f4753628f8e446bd05431687831,0,hard_negative,pf_v2_aigc_h05-squatting,pf_v2_aigc_h05-squatting,DEV,P2_DESIGN,ai_generated,deterministic_round_robin_hard_negative_from_p2_design
IMG_003762,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/361_h07-deep-bending-picking-up-items-01.png,3cd2d69225587134247c61e84a90055f9263867f885b60900d79f8b8694c91d7,0,hard_negative,pf_v2_aigc_h07-deep-bending-picking-up-items,pf_v2_aigc_h07-deep-bending-picking-up-items,DEV,P2_DESIGN,ai_generated,deterministic_round_robin_hard_negative_from_p2_design
IMG_003772,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/371_h08-deep-bending-picking-up-items-01.png,f04fb21225a9ff7f6c6452c2b9958413bffe162dafc13672883e5f8b88f90b19,0,hard_negative,pf_v2_aigc_h08-deep-bending-picking-up-items,pf_v2_aigc_h08-deep-bending-picking-up-items,DEV,P2_DESIGN,ai_generated,deterministic_round_robin_hard_negative_from_p2_design
IMG_003782,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/381_h09-exercise-push-up-plank-01.png,44e8623e2ad766479925476c92fbab18bc3c1e7ba9e45c5654134bc13c936f2c,0,hard_negative,pf_v2_aigc_h09-exercise-push-up-plank,pf_v2_aigc_h09-exercise-push-up-plank,DEV,P2_DESIGN,ai_generated,deterministic_round_robin_hard_negative_from_p2_design
IMG_003713,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/312_h02-sitting-on-floor-02.png,74c096570ad1109e55ec956d25c76b0c3fe1a9dc51eef03da1642c07d7a765b9,0,hard_negative,pf_v2_aigc_h02-sitting-on-floor,pf_v2_aigc_h02-sitting-on-floor,DEV,P2_DESIGN,ai_generated,deterministic_round_robin_hard_negative_from_p2_design
