timestamp_utc,probe,phase,host,status,pid,ppid,lstart,etime,command,error
2026-08-27T02:25:51.340683+00:00,P2L_A,before,tiga@192.168.20.62,unavailable,,,,,,"tiga@192.168.20.62: Permission denied (publickey,password)."
2026-08-27T02:25:58.838097+00:00,P2L_A,after,tiga@192.168.20.62,unavailable,,,,,,"tiga@192.168.20.62: Permission denied (publickey,password)."
2026-08-27T02:38:03.993548+00:00,P2L_A,before,tiga@192.168.20.62,unavailable,,,,,,"tiga@192.168.20.62: Permission denied (publickey,password)."
2026-08-27T02:38:28.616353+00:00,P2L_A,midpoint,tiga@192.168.20.62,unavailable,,,,,,"tiga@192.168.20.62: Permission denied (publickey,password)."
2026-08-27T02:38:45.743534+00:00,P2L_A,after,tiga@192.168.20.62,unavailable,,,,,,"tiga@192.168.20.62: Permission denied (publickey,password)."
2026-08-27T02:38:51.340650+00:00,P2L_B,before,tiga@192.168.20.62,unavailable,,,,,,"tiga@192.168.20.62: Permission denied (publickey,password)."
2026-08-27T02:39:08.730740+00:00,P2L_B,midpoint,tiga@192.168.20.62,unavailable,,,,,,"tiga@192.168.20.62: Permission denied (publickey,password)."
2026-08-27T02:39:25.762906+00:00,P2L_B,after,tiga@192.168.20.62,unavailable,,,,,,"tiga@192.168.20.62: Permission denied (publickey,password)."
2026-08-27T02:39:33.844955+00:00,P2L_C,before,tiga@192.168.20.62,unavailable,,,,,,"tiga@192.168.20.62: Permission denied (publickey,password)."
2026-08-27T02:40:02.116564+00:00,P2L_C,after,tiga@192.168.20.62,unavailable,,,,,,"tiga@192.168.20.62: Permission denied (publickey,password)."
2026-08-27T02:43:08.144306+00:00,P2L_FINAL,after,tiga@192.168.20.62,unavailable,,,,,,"tiga@192.168.20.62: Permission denied (publickey,password)."
