media_id,event_label,sample_role,scenario_id,group_id,taxonomy,c3_status,candidate,candidate_status,transition,c3_correct,candidate_correct
IMG_003702,0,hard_negative,pf_v2_aigc_h01-sitting-on-floor,pf_v2_aigc_h01-sitting-on-floor,sitting_on_floor,negative,S1_DIRECT,positive,negative->positive,True,False
IMG_003703,0,hard_negative,pf_v2_aigc_h01-sitting-on-floor,pf_v2_aigc_h01-sitting-on-floor,sitting_on_floor,negative,S1_DIRECT,negative,negative->negative,True,True
IMG_003704,0,hard_negative,pf_v2_aigc_h01-sitting-on-floor,pf_v2_aigc_h01-sitting-on-floor,sitting_on_floor,negative,S1_DIRECT,negative,negative->negative,True,True
IMG_003705,0,hard_negative,pf_v2_aigc_h01-sitting-on-floor,pf_v2_aigc_h01-sitting-on-floor,sitting_on_floor,negative,S1_DIRECT,positive,negative->positive,True,False
IMG_003706,0,hard_negative,pf_v2_aigc_h01-sitting-on-floor,pf_v2_aigc_h01-sitting-on-floor,sitting_on_floor,negative,S1_DIRECT,positive,negative->positive,True,False
IMG_003707,0,hard_negative,pf_v2_aigc_h01-sitting-on-floor,pf_v2_aigc_h01-sitting-on-floor,sitting_on_floor,negative,S1_DIRECT,negative,negative->negative,True,True
IMG_003708,0,hard_negative,pf_v2_aigc_h01-sitting-on-floor,pf_v2_aigc_h01-sitting-on-floor,sitting_on_floor,negative,S1_DIRECT,positive,negative->positive,True,False
IMG_003709,0,hard_negative,pf_v2_aigc_h01-sitting-on-floor,pf_v2_aigc_h01-sitting-on-floor,sitting_on_floor,negative,S1_DIRECT,positive,negative->positive,True,False
IMG_003710,0,hard_negative,pf_v2_aigc_h01-sitting-on-floor,pf_v2_aigc_h01-sitting-on-floor,sitting_on_floor,negative,S1_DIRECT,negative,negative->negative,True,True
IMG_003711,0,hard_negative,pf_v2_aigc_h01-sitting-on-floor,pf_v2_aigc_h01-sitting-on-floor,sitting_on_floor,negative,S1_DIRECT,negative,negative->negative,True,True
IMG_003752,0,hard_negative,pf_v2_aigc_h06-squatting,pf_v2_aigc_h06-squatting,squatting_or_crouching,negative,S1_DIRECT,negative,negative->negative,True,True
IMG_003753,0,hard_negative,pf_v2_aigc_h06-squatting,pf_v2_aigc_h06-squatting,squatting_or_crouching,negative,S1_DIRECT,negative,negative->negative,True,True
IMG_003754,0,hard_negative,pf_v2_aigc_h06-squatting,pf_v2_aigc_h06-squatting,squatting_or_crouching,negative,S1_DIRECT,negative,negative->negative,True,True
IMG_003755,0,hard_negative,pf_v2_aigc_h06-squatting,pf_v2_aigc_h06-squatting,squatting_or_crouching,negative,S1_DIRECT,negative,negative->negative,True,True
IMG_003756,0,hard_negative,pf_v2_aigc_h06-squatting,pf_v2_aigc_h06-squatting,squatting_or_crouching,negative,S1_DIRECT,negative,negative->negative,True,True
IMG_003757,0,hard_negative,pf_v2_aigc_h06-squatting,pf_v2_aigc_h06-squatting,squatting_or_crouching,negative,S1_DIRECT,negative,negative->negative,True,True
IMG_003758,0,hard_negative,pf_v2_aigc_h06-squatting,pf_v2_aigc_h06-squatting,squatting_or_crouching,negative,S1_DIRECT,negative,negative->negative,True,True
IMG_003759,0,hard_negative,pf_v2_aigc_h06-squatting,pf_v2_aigc_h06-squatting,squatting_or_crouching,negative,S1_DIRECT,negative,negative->negative,True,True
IMG_003760,0,hard_negative,pf_v2_aigc_h06-squatting,pf_v2_aigc_h06-squatting,squatting_or_crouching,negative,S1_DIRECT,negative,negative->negative,True,True
IMG_003761,0,hard_negative,pf_v2_aigc_h06-squatting,pf_v2_aigc_h06-squatting,squatting_or_crouching,negative,S1_DIRECT,negative,negative->negative,True,True
IMG_003792,0,hard_negative,pf_v2_aigc_h10-exercise-push-up-plank,pf_v2_aigc_h10-exercise-push-up-plank,exercise_pushup_or_plank,negative,S1_DIRECT,positive,negative->positive,True,False
IMG_003793,0,hard_negative,pf_v2_aigc_h10-exercise-push-up-plank,pf_v2_aigc_h10-exercise-push-up-plank,exercise_pushup_or_plank,negative,S1_DIRECT,positive,negative->positive,True,False
IMG_003794,0,hard_negative,pf_v2_aigc_h10-exercise-push-up-plank,pf_v2_aigc_h10-exercise-push-up-plank,exercise_pushup_or_plank,negative,S1_DIRECT,positive,negative->positive,True,False
IMG_003795,0,hard_negative,pf_v2_aigc_h10-exercise-push-up-plank,pf_v2_aigc_h10-exercise-push-up-plank,exercise_pushup_or_plank,positive,S1_DIRECT,positive,positive->positive,False,False
IMG_003796,0,hard_negative,pf_v2_aigc_h10-exercise-push-up-plank,pf_v2_aigc_h10-exercise-push-up-plank,exercise_pushup_or_plank,negative,S1_DIRECT,positive,negative->positive,True,False
IMG_003797,0,hard_negative,pf_v2_aigc_h10-exercise-push-up-plank,pf_v2_aigc_h10-exercise-push-up-plank,exercise_pushup_or_plank,negative,S1_DIRECT,positive,negative->positive,True,False
IMG_003798,0,hard_negative,pf_v2_aigc_h10-exercise-push-up-plank,pf_v2_aigc_h10-exercise-push-up-plank,exercise_pushup_or_plank,positive,S1_DIRECT,positive,positive->positive,False,False
