operational_id,item_id,operational_class,source_width,source_height,detected_box_count,accepted_box_count,person_detected,confidence,box_area_ratio,crop_box
PFV4_SCREEN_0001,P4D_PLAN::PF_P4D_HN_SIT_G008_V01,normal_negative,1920,1080,1,1,true,0.6920580267906189,0.03138035927075651,"912,346,1248,701"
PFV4_SCREEN_0002,P4D_PLAN::PF_P4D_HN_SIT_G008_V02,normal_negative,1920,1080,1,1,true,0.8936722278594971,0.0627643472677004,"594,400,1066,904"
PFV4_SCREEN_0003,P4D_PLAN::PF_P4D_HN_SIT_G008_V03,normal_negative,1920,1080,1,1,true,0.9359662532806396,0.22380132957275944,"322,233,1434,994"
PFV4_SCREEN_0004,P4D_PLAN::PF_P4D_HN_SIT_G008_V04,normal_negative,1920,1080,3,3,true,0.9204745888710022,0.14888723564302955,"527,276,1425,903"
PFV4_SCREEN_0005,P4D_PLAN::PF_P4D_HN_SIT_G008_V05,normal_negative,1920,1080,3,3,true,0.898389995098114,0.0786693824159253,"740,357,1338,855"
PFV4_SCREEN_0006,P4D_PLAN::PF_P4D_HN_SIT_G009_V01,normal_negative,1920,1080,3,3,true,0.9200448393821716,0.07006652640683265,"724,225,1325,666"
PFV4_SCREEN_0007,P4D_PLAN::PF_P4D_HN_SIT_G009_V02,normal_negative,1920,1080,1,1,true,0.9186552166938782,0.08757485595276025,"688,214,1161,916"
PFV4_SCREEN_0008,P4D_PLAN::PF_P4D_HN_SIT_G009_V03,normal_negative,1920,1080,2,2,true,0.8904372453689575,0.1977099255282169,"434,171,1446,911"
PFV4_SCREEN_0009,P4D_PLAN::PF_P4D_HN_SIT_G009_V04,normal_negative,1920,1080,1,1,true,0.8804506659507751,0.11257326674578104,"490,378,1308,899"
PFV4_SCREEN_0010,P4D_PLAN::PF_P4D_HN_SIT_G009_V05,normal_negative,1920,1080,1,1,true,0.9136279821395874,0.14681884118809974,"542,235,1436,856"
PFV4_SCREEN_0011,P4D_PLAN::PF_P4D_HN_SIT_G010_V01,normal_negative,1920,1080,1,1,true,0.9280009269714355,0.1259611831586032,"586,257,1287,937"
PFV4_SCREEN_0012,P4D_PLAN::PF_P4D_HN_SIT_G010_V02,normal_negative,1920,1080,2,2,true,0.9072877168655396,0.09912964749217079,"605,137,1153,823"
PFV4_SCREEN_0013,P4D_PLAN::PF_P4D_HN_SIT_G010_V03,normal_negative,1920,1080,2,2,true,0.9183481335639954,0.12584798393696137,"524,253,1353,827"
PFV4_SCREEN_0014,P4D_PLAN::PF_P4D_HN_SIT_G010_V04,normal_negative,1920,1080,1,1,true,0.8515825867652893,0.11756451660950444,"851,229,1495,919"
PFV4_SCREEN_0015,P4D_PLAN::PF_P4D_HN_SIT_G010_V05,normal_negative,1920,1080,1,1,true,0.7496914267539978,0.057293844803271994,"867,267,1389,683"
PFV4_SCREEN_0016,P4D_PLAN::PF_P4D_HN_SIT_G011_V01,normal_negative,1920,1080,1,1,true,0.8499522805213928,0.16827299816290583,"498,187,1370,917"
PFV4_SCREEN_0017,P4D_PLAN::PF_P4D_HN_SIT_G011_V02,normal_negative,1920,1080,1,1,true,0.9262123703956604,0.1331977745379845,"628,165,1271,949"
