diagnostic_id,expected_v4_outcome,selection_basis,item_id,source_family,prompt_id,media_id,group_id,source_split,v3_split,image_path,image_sha256,image_sha_basis,prompt_path,prompt_sha256,taxonomy,old_role,old_label,ground_truth,metric_stratum,source_provenance_status,gt_type,gt_source,human_semantic_review_required,formal_v3_evaluation,person_detected,detector_confidence,detector_box_area_ratio,full_view_path,full_view_sha256,crop_view_path,crop_view_sha256,view_count,diagnostic_class,expected_pose_family,diagnostic_original_id,diagnostic_original_selection_basis,operational_id,experiment_stratum,experiment_role,phase,request_id
PFV4DEV_0311,NO_ALERT_NORMAL_POSE,ALL_FROZEN_V3_DEV_ROWS_IN_PARENT_ORDER,P4D_PLAN::PF_P4D_HN_SIT_G001_V01,P4D_FROZEN_PLAN_440,PF_P4D_HN_SIT_G001_V01,,PF_P4D_HN_SIT_G001,NEW_DESIGN,V3_DEV,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G001_V01.png,e2a581d85bad33fe876ee72c81c6ed053fc8ab9c62975f9daa63beb4393052fa,FAST_CLOSE_EXPECTED_AND_ACTUAL,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G001_V01.txt,8457b5040240fdd57d98ae5bb02251b9dfb94502bf650ebec2ab57018186ef5a,floor_sitting,hard_negative,negative,negative,hard_negative,P4D_FAST_CLOSE_PROVENANCE_MECHANICAL_LINEAGE_PASS,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,true,true,0.9072661995887756,0.10659882153272823,/home/yanbo/net_vlm_person_fallen_v2_optimization/13_person_fallen_v4_pose_attributes/prepared_full_dev/PFV4DEV_0311/full_scene.jpg,a5318c14967edd2d4b86114703641c734049845616a93064713066287ee486e3,/home/yanbo/net_vlm_person_fallen_v2_optimization/13_person_fallen_v4_pose_attributes/prepared_full_dev/PFV4DEV_0311/person_crop.jpg,f6e00234cee70c77930c52ed08d9e47ab71b146e8da8b33fe349e8a5dd2ad83d,2,floor_sitting,floor_sitting,PFV4D_0001,FROZEN_TAXONOMY_AND_STABLE_ID_ONLY,PFV4DEV_0311,normal_negative,PILOT_DEV_115,pilot,V5_B0_PILOT_0001
PFV4DEV_0312,NO_ALERT_NORMAL_POSE,ALL_FROZEN_V3_DEV_ROWS_IN_PARENT_ORDER,P4D_PLAN::PF_P4D_HN_SIT_G001_V02,P4D_FROZEN_PLAN_440,PF_P4D_HN_SIT_G001_V02,,PF_P4D_HN_SIT_G001,NEW_DESIGN,V3_DEV,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G001_V02.png,d21e3b0133297066faa98825f1b244b103aa41b025a604ab263570ced2abc6ae,FAST_CLOSE_EXPECTED_AND_ACTUAL,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G001_V02.txt,50a601f6f68a7a5b163ed7b7912cb046500a0629ebf1fa884e7e05490af4c4e9,floor_sitting,hard_negative,negative,negative,hard_negative,P4D_FAST_CLOSE_PROVENANCE_MECHANICAL_LINEAGE_PASS,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,true,true,0.31163012981414795,0.0367101029434707,/home/yanbo/net_vlm_person_fallen_v2_optimization/13_person_fallen_v4_pose_attributes/prepared_full_dev/PFV4DEV_0312/full_scene.jpg,8c31ab5b43edf647fc26471fd374758919a9448665ad9b4a58002d05c0a5f321,/home/yanbo/net_vlm_person_fallen_v2_optimization/13_person_fallen_v4_pose_attributes/prepared_full_dev/PFV4DEV_0312/person_crop.jpg,8eedcc6a497e40b81d69a29f6fb51febccce3b320c66d5355bb4009e8b5863d7,2,floor_sitting,floor_sitting,PFV4D_0002,FROZEN_TAXONOMY_AND_STABLE_ID_ONLY,PFV4DEV_0312,normal_negative,PILOT_DEV_115,pilot,V5_B0_PILOT_0002
PFV4DEV_0313,NO_ALERT_NORMAL_POSE,ALL_FROZEN_V3_DEV_ROWS_IN_PARENT_ORDER,P4D_PLAN::PF_P4D_HN_SIT_G001_V03,P4D_FROZEN_PLAN_440,PF_P4D_HN_SIT_G001_V03,,PF_P4D_HN_SIT_G001,NEW_DESIGN,V3_DEV,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G001_V03.png,674601dc13de3a69747b95d3c61fcef59f1fbf0e4aff3cb3ab4b27dcbfd899d7,FAST_CLOSE_EXPECTED_AND_ACTUAL,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G001_V03.txt,037ce19367f033d97dca0bbc8e7757b3e6dda321dcf44478aaa55198e1a32044,floor_sitting,hard_negative,negative,negative,hard_negative,P4D_FAST_CLOSE_PROVENANCE_MECHANICAL_LINEAGE_PASS,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,true,true,0.8354085683822632,0.12756229396292365,/home/yanbo/net_vlm_person_fallen_v2_optimization/13_person_fallen_v4_pose_attributes/prepared_full_dev/PFV4DEV_0313/full_scene.jpg,95c764ada4e95c955572c64e9e5460ff0304d61f5e8faab81f275175fec3c934,/home/yanbo/net_vlm_person_fallen_v2_optimization/13_person_fallen_v4_pose_attributes/prepared_full_dev/PFV4DEV_0313/person_crop.jpg,055e06ec11ba03509a0888ba0d6199dd4ec611563cb51d1e1f82d6354bbb89a0,2,floor_sitting,floor_sitting,PFV4D_0003,FROZEN_TAXONOMY_AND_STABLE_ID_ONLY,PFV4DEV_0313,normal_negative,PILOT_DEV_115,pilot,V5_B0_PILOT_0003
PFV4DEV_0314,NO_ALERT_NORMAL_POSE,ALL_FROZEN_V3_DEV_ROWS_IN_PARENT_ORDER,P4D_PLAN::PF_P4D_HN_SIT_G001_V04,P4D_FROZEN_PLAN_440,PF_P4D_HN_SIT_G001_V04,,PF_P4D_HN_SIT_G001,NEW_DESIGN,V3_DEV,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G001_V04.png,6c15404fd1f16c2c4e478e153bd3d7cc723e4e279c80ea6e91832cc998c0aa89,FAST_CLOSE_EXPECTED_AND_ACTUAL,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G001_V04.txt,fe4762f481c9de4f3c83d4bdbb52f90df85ec53d6868333bdf98aeba7b5d25b9,floor_sitting,hard_negative,negative,negative,hard_negative,P4D_FAST_CLOSE_PROVENANCE_MECHANICAL_LINEAGE_PASS,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,true,true,0.9370735287666321,0.19563908504166952,/home/yanbo/net_vlm_person_fallen_v2_optimization/13_person_fallen_v4_pose_attributes/prepared_full_dev/PFV4DEV_0314/full_scene.jpg,417ec8415be70a01a6fce18bbeb57a958e7fd8a898832661352beefef8ab3793,/home/yanbo/net_vlm_person_fallen_v2_optimization/13_person_fallen_v4_pose_attributes/prepared_full_dev/PFV4DEV_0314/person_crop.jpg,a3ebd00681a018a4d5665c34c18d69423a3aa04edf661d1b52749fe9c3085079,2,floor_sitting,floor_sitting,PFV4D_0004,FROZEN_TAXONOMY_AND_STABLE_ID_ONLY,PFV4DEV_0314,normal_negative,PILOT_DEV_115,pilot,V5_B0_PILOT_0004
PFV4DEV_0315,NO_ALERT_NORMAL_POSE,ALL_FROZEN_V3_DEV_ROWS_IN_PARENT_ORDER,P4D_PLAN::PF_P4D_HN_SIT_G001_V05,P4D_FROZEN_PLAN_440,PF_P4D_HN_SIT_G001_V05,,PF_P4D_HN_SIT_G001,NEW_DESIGN,V3_DEV,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G001_V05.png,8a601a296c493209ea6d0e4d3c42904a94ece62d0d799b801df68eeb49a3ec96,FAST_CLOSE_EXPECTED_AND_ACTUAL,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G001_V05.txt,8903c290d95542423a083d187a94814a17c5f374775fd69ddccfb8aa64b99804,floor_sitting,hard_negative,negative,negative,hard_negative,P4D_FAST_CLOSE_PROVENANCE_MECHANICAL_LINEAGE_PASS,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,true,true,0.4389847218990326,0.1094197671301663,/home/yanbo/net_vlm_person_fallen_v2_optimization/13_person_fallen_v4_pose_attributes/prepared_full_dev/PFV4DEV_0315/full_scene.jpg,6db4e0f7736abbd876b08bb9199a29df8a704564d362eefdddf26ee1cc861ba7,/home/yanbo/net_vlm_person_fallen_v2_optimization/13_person_fallen_v4_pose_attributes/prepared_full_dev/PFV4DEV_0315/person_crop.jpg,103261737812ab0e53996d4906a529b114044c7e05e74fa9cfdae786064ca49a,2,floor_sitting,floor_sitting,PFV4D_0005,FROZEN_TAXONOMY_AND_STABLE_ID_ONLY,PFV4DEV_0315,normal_negative,PILOT_DEV_115,pilot,V5_B0_PILOT_0005
PFV4DEV_0316,NO_ALERT_NORMAL_POSE,ALL_FROZEN_V3_DEV_ROWS_IN_PARENT_ORDER,P4D_PLAN::PF_P4D_HN_SIT_G002_V01,P4D_FROZEN_PLAN_440,PF_P4D_HN_SIT_G002_V01,,PF_P4D_HN_SIT_G002,NEW_DESIGN,V3_DEV,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G002_V01.png,5d5f299d58ecc1b07020fa3b42f858d18ebaef9a26d8c2764f942d098bfbb183,FAST_CLOSE_EXPECTED_AND_ACTUAL,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G002_V01.txt,47697e2923fb9b4c34e16b6bd0eccfb2bd7735f9ed9c2a4dfbaa2fb44e21ca74,floor_sitting,hard_negative,negative,negative,hard_negative,P4D_FAST_CLOSE_PROVENANCE_MECHANICAL_LINEAGE_PASS,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,true,true,0.6082506775856018,0.026413943151613543,/home/yanbo/net_vlm_person_fallen_v2_optimization/13_person_fallen_v4_pose_attributes/prepared_full_dev/PFV4DEV_0316/full_scene.jpg,05fc5a73882ac690dc4ee9d813a6a54f8105aab2ff92cce51898603d49d57a2d,/home/yanbo/net_vlm_person_fallen_v2_optimization/13_person_fallen_v4_pose_attributes/prepared_full_dev/PFV4DEV_0316/person_crop.jpg,a2c7bf9fed2375d8e902357f9578aa29a4ef2bb420ef68a8e42643327f6bbfe7,2,floor_sitting,floor_sitting,PFV4D_0006,FROZEN_TAXONOMY_AND_STABLE_ID_ONLY,PFV4DEV_0316,normal_negative,PILOT_DEV_115,pilot,V5_B0_PILOT_0006
PFV4DEV_0317,NO_ALERT_NORMAL_POSE,ALL_FROZEN_V3_DEV_ROWS_IN_PARENT_ORDER,P4D_PLAN::PF_P4D_HN_SIT_G002_V02,P4D_FROZEN_PLAN_440,PF_P4D_HN_SIT_G002_V02,,PF_P4D_HN_SIT_G002,NEW_DESIGN,V3_DEV,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G002_V02.png,2acb0923c09fb9a05e838a3f6a0c204ff7e591bd59e6eefe91bc5f861ebca5a0,FAST_CLOSE_EXPECTED_AND_ACTUAL,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G002_V02.txt,5fea79c209c78eb411266cb3f668d803833209d456edbb8541a2c22eaea3a049,floor_sitting,hard_negative,negative,negative,hard_negative,P4D_FAST_CLOSE_PROVENANCE_MECHANICAL_LINEAGE_PASS,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,true,true,0.8965926766395569,0.12177197337036044,/home/yanbo/net_vlm_person_fallen_v2_optimization/13_person_fallen_v4_pose_attributes/prepared_full_dev/PFV4DEV_0317/full_scene.jpg,a219e09cbe9b2cb98fd32dcc6dea2f9889e6c2f2428d9a74b9dca65bec5d9059,/home/yanbo/net_vlm_person_fallen_v2_optimization/13_person_fallen_v4_pose_attributes/prepared_full_dev/PFV4DEV_0317/person_crop.jpg,83d37e44ca43b3d950491a90f1b75ddde8471e324cf3b741ac3ac5b837cd26d7,2,floor_sitting,floor_sitting,PFV4D_0007,FROZEN_TAXONOMY_AND_STABLE_ID_ONLY,PFV4DEV_0317,normal_negative,PILOT_DEV_115,pilot,V5_B0_PILOT_0007
PFV4DEV_0318,NO_ALERT_NORMAL_POSE,ALL_FROZEN_V3_DEV_ROWS_IN_PARENT_ORDER,P4D_PLAN::PF_P4D_HN_SIT_G002_V03,P4D_FROZEN_PLAN_440,PF_P4D_HN_SIT_G002_V03,,PF_P4D_HN_SIT_G002,NEW_DESIGN,V3_DEV,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G002_V03.png,a458075e4d53995d5a06b79b7845b3762afb2f5df3a1b4f9f88d8306f605e349,FAST_CLOSE_EXPECTED_AND_ACTUAL,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G002_V03.txt,38481f5dd1bd755cbe76dcc73a2a338d336e94504d599c3fe1b189cb62e5f7fc,floor_sitting,hard_negative,negative,negative,hard_negative,P4D_FAST_CLOSE_PROVENANCE_MECHANICAL_LINEAGE_PASS,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,true,true,0.9084184169769287,0.10900542128308177,/home/yanbo/net_vlm_person_fallen_v2_optimization/13_person_fallen_v4_pose_attributes/prepared_full_dev/PFV4DEV_0318/full_scene.jpg,6bab1643c109e9a04a9d8557359e75e0a2c757cd97811dc4615419755865b94d,/home/yanbo/net_vlm_person_fallen_v2_optimization/13_person_fallen_v4_pose_attributes/prepared_full_dev/PFV4DEV_0318/person_crop.jpg,03cb34aeb76d30d01c81679728894f84742f59862b482473e3719d5dd4c5b18b,2,floor_sitting,floor_sitting,PFV4D_0008,FROZEN_TAXONOMY_AND_STABLE_ID_ONLY,PFV4DEV_0318,normal_negative,PILOT_DEV_115,pilot,V5_B0_PILOT_0008
PFV4DEV_0319,NO_ALERT_NORMAL_POSE,ALL_FROZEN_V3_DEV_ROWS_IN_PARENT_ORDER,P4D_PLAN::PF_P4D_HN_SIT_G002_V04,P4D_FROZEN_PLAN_440,PF_P4D_HN_SIT_G002_V04,,PF_P4D_HN_SIT_G002,NEW_DESIGN,V3_DEV,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G002_V04.png,0983512e462a6aceae3035e2f75ce3acbb144d94e6ab657a60bd91117a1f2ff2,FAST_CLOSE_EXPECTED_AND_ACTUAL,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G002_V04.txt,7dc530bcd9852562431e2383eb32722bfa8d66315c16aa59d3e24f750203a686,floor_sitting,hard_negative,negative,negative,hard_negative,P4D_FAST_CLOSE_PROVENANCE_MECHANICAL_LINEAGE_PASS,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,true,true,0.939516544342041,0.18084914436086152,/home/yanbo/net_vlm_person_fallen_v2_optimization/13_person_fallen_v4_pose_attributes/prepared_full_dev/PFV4DEV_0319/full_scene.jpg,7e3e3960b28c5c49fe66df07647de95c75dc0682b8db6988bd0cdd53b173cfc8,/home/yanbo/net_vlm_person_fallen_v2_optimization/13_person_fallen_v4_pose_attributes/prepared_full_dev/PFV4DEV_0319/person_crop.jpg,af05eeaf1547dce3f3c9f20eed215bc81f2db723f7ea95b1339cfd87b4602c0d,2,floor_sitting,floor_sitting,PFV4D_0009,FROZEN_TAXONOMY_AND_STABLE_ID_ONLY,PFV4DEV_0319,normal_negative,PILOT_DEV_115,pilot,V5_B0_PILOT_0009
PFV4DEV_0320,NO_ALERT_NORMAL_POSE,ALL_FROZEN_V3_DEV_ROWS_IN_PARENT_ORDER,P4D_PLAN::PF_P4D_HN_SIT_G002_V05,P4D_FROZEN_PLAN_440,PF_P4D_HN_SIT_G002_V05,,PF_P4D_HN_SIT_G002,NEW_DESIGN,V3_DEV,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G002_V05.png,18ee5f3c112248004e858561f6aa0273a1359b5840fc325cefe6aa803b857b37,FAST_CLOSE_EXPECTED_AND_ACTUAL,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G002_V05.txt,6a6ea6c25eda8bccfb9e2052278695a5b7749a9fffc1b18b850c85c0058b158e,floor_sitting,hard_negative,negative,negative,hard_negative,P4D_FAST_CLOSE_PROVENANCE_MECHANICAL_LINEAGE_PASS,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,true,true,0.9162235260009766,0.09036495070387092,/home/yanbo/net_vlm_person_fallen_v2_optimization/13_person_fallen_v4_pose_attributes/prepared_full_dev/PFV4DEV_0320/full_scene.jpg,bc8148e53a7969f4a796de3b518787d216b2509824f11beb75cca9409b22f116,/home/yanbo/net_vlm_person_fallen_v2_optimization/13_person_fallen_v4_pose_attributes/prepared_full_dev/PFV4DEV_0320/person_crop.jpg,fe00f9cb05eb68f4d0dbfa374c07f9b978d71e21ae5e1e470aa4f4e254330672,2,floor_sitting,floor_sitting,PFV4D_0010,FROZEN_TAXONOMY_AND_STABLE_ID_ONLY,PFV4DEV_0320,normal_negative,PILOT_DEV_115,pilot,V5_B0_PILOT_0010
