prompt_id,generation_group_id,taxonomy,v3_split,event_name,event_definition_version,gt_type,human_semantic_review_required,event_label,sample_role,source_image_path,source_image_sha256,capture_batch,source_type,input_type,usage_scope,source_reference,generation_provider,generation_runtime,generation_revision,frozen_remap_source,staging_path
PF_P4D_HN_CRAWL_G001_V01,PF_P4D_HN_CRAWL_G001,crawling_quadruped_support,V3_DEV,person_fallen,v3.0,PROMPT_DERIVED_SYNTHETIC_GT,false,1,positive,/home/yanbo/net_vlm_person_fallen_v2_optimization/08_p4d_new_hard_negative_dev_revision/02_generation/gr3_fullregen/06_execution/quota_campaign_window_03_gr3q6_authorized_20260831_01/08_final/PF_P4D_HN_CRAWL_G001_V01.png,80e28147640d5f74a7e7153f4499eecfb9cfd7b2eb8ec84020bf2d7a0a4378cf,20260902_person_fallen_v3_codex_clean,ai_generated,real_single_view,development_only,/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv,codex,CODEX_SAFE_STAGED_CV_V1,P4D_FAST_CLOSE_CLEAN_LINEAGE_20260901,/home/yanbo/net_vlm_person_fallen_v2_optimization/11_person_fallen_v3_revision/remap/person_fallen_v3_remap_manifest.csv,/home/yanbo/net_vlm_person_fallen_v2_optimization/intake_staging/person_fallen_v3_codex_clean/PF_P4D_HN_CRAWL_G001/PF_P4D_HN_CRAWL_G001_V01.png
PF_P4D_HN_CRAWL_G001_V02,PF_P4D_HN_CRAWL_G001,crawling_quadruped_support,V3_DEV,person_fallen,v3.0,PROMPT_DERIVED_SYNTHETIC_GT,false,1,positive,/home/yanbo/net_vlm_person_fallen_v2_optimization/08_p4d_new_hard_negative_dev_revision/02_generation/gr3_fullregen/06_execution/quota_campaign_window_03_gr3q6_authorized_20260831_01/08_final/PF_P4D_HN_CRAWL_G001_V02.png,5661260a55519adc816148913cd24fac2889c065de658695dc08b4da8eccaed4,20260902_person_fallen_v3_codex_clean,ai_generated,real_single_view,development_only,/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv,codex,CODEX_SAFE_STAGED_CV_V1,P4D_FAST_CLOSE_CLEAN_LINEAGE_20260901,/home/yanbo/net_vlm_person_fallen_v2_optimization/11_person_fallen_v3_revision/remap/person_fallen_v3_remap_manifest.csv,/home/yanbo/net_vlm_person_fallen_v2_optimization/intake_staging/person_fallen_v3_codex_clean/PF_P4D_HN_CRAWL_G001/PF_P4D_HN_CRAWL_G001_V02.png
PF_P4D_HN_CRAWL_G001_V03,PF_P4D_HN_CRAWL_G001,crawling_quadruped_support,V3_DEV,person_fallen,v3.0,PROMPT_DERIVED_SYNTHETIC_GT,false,1,positive,/home/yanbo/net_vlm_person_fallen_v2_optimization/08_p4d_new_hard_negative_dev_revision/02_generation/gr3_fullregen/06_execution/quota_campaign_window_03_gr3q6_authorized_20260831_01/08_final/PF_P4D_HN_CRAWL_G001_V03.png,1ccde1893ba0237a869e195b024105de08360cece001ea75b3697d07725060f2,20260902_person_fallen_v3_codex_clean,ai_generated,real_single_view,development_only,/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv,codex,CODEX_SAFE_STAGED_CV_V1,P4D_FAST_CLOSE_CLEAN_LINEAGE_20260901,/home/yanbo/net_vlm_person_fallen_v2_optimization/11_person_fallen_v3_revision/remap/person_fallen_v3_remap_manifest.csv,/home/yanbo/net_vlm_person_fallen_v2_optimization/intake_staging/person_fallen_v3_codex_clean/PF_P4D_HN_CRAWL_G001/PF_P4D_HN_CRAWL_G001_V03.png
PF_P4D_HN_CRAWL_G001_V04,PF_P4D_HN_CRAWL_G001,crawling_quadruped_support,V3_DEV,person_fallen,v3.0,PROMPT_DERIVED_SYNTHETIC_GT,false,1,positive,/home/yanbo/net_vlm_person_fallen_v2_optimization/08_p4d_new_hard_negative_dev_revision/02_generation/gr3_fullregen/06_execution/quota_campaign_window_03_gr3q6_authorized_20260831_01/08_final/PF_P4D_HN_CRAWL_G001_V04.png,df65b6a524e17d001e525451fffff96880101e8172d9966b9a45cdc68ace4a4a,20260902_person_fallen_v3_codex_clean,ai_generated,real_single_view,development_only,/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv,codex,CODEX_SAFE_STAGED_CV_V1,P4D_FAST_CLOSE_CLEAN_LINEAGE_20260901,/home/yanbo/net_vlm_person_fallen_v2_optimization/11_person_fallen_v3_revision/remap/person_fallen_v3_remap_manifest.csv,/home/yanbo/net_vlm_person_fallen_v2_optimization/intake_staging/person_fallen_v3_codex_clean/PF_P4D_HN_CRAWL_G001/PF_P4D_HN_CRAWL_G001_V04.png
PF_P4D_HN_CRAWL_G001_V05,PF_P4D_HN_CRAWL_G001,crawling_quadruped_support,V3_DEV,person_fallen,v3.0,PROMPT_DERIVED_SYNTHETIC_GT,false,1,positive,/home/yanbo/net_vlm_person_fallen_v2_optimization/08_p4d_new_hard_negative_dev_revision/02_generation/gr3_fullregen/06_execution/quota_campaign_window_03_gr3q6_authorized_20260831_01/08_final/PF_P4D_HN_CRAWL_G001_V05.png,0675267dd08ba89d9482c066bfeef2e1b914045d2b897f6081099b5864ef4e0a,20260902_person_fallen_v3_codex_clean,ai_generated,real_single_view,development_only,/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv,codex,CODEX_SAFE_STAGED_CV_V1,P4D_FAST_CLOSE_CLEAN_LINEAGE_20260901,/home/yanbo/net_vlm_person_fallen_v2_optimization/11_person_fallen_v3_revision/remap/person_fallen_v3_remap_manifest.csv,/home/yanbo/net_vlm_person_fallen_v2_optimization/intake_staging/person_fallen_v3_codex_clean/PF_P4D_HN_CRAWL_G001/PF_P4D_HN_CRAWL_G001_V05.png
PF_P4D_HN_KNEEL_G001_V01,PF_P4D_HN_KNEEL_G001,kneeling_half_kneeling,V3_DEV,person_fallen,v3.0,PROMPT_DERIVED_SYNTHETIC_GT,false,0,hard_negative,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_KNEEL_G001_V01.png,76a5e657caba73684ea2571cf403efc1922a1ea0a6aee84f6116cc5a02b2d046,20260902_person_fallen_v3_codex_clean,ai_generated,real_single_view,development_only,/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv,codex,CODEX_SAFE_STAGED_CV_V1,P4D_FAST_CLOSE_CLEAN_LINEAGE_20260901,/home/yanbo/net_vlm_person_fallen_v2_optimization/11_person_fallen_v3_revision/remap/person_fallen_v3_remap_manifest.csv,/home/yanbo/net_vlm_person_fallen_v2_optimization/intake_staging/person_fallen_v3_codex_clean/PF_P4D_HN_KNEEL_G001/PF_P4D_HN_KNEEL_G001_V01.png
PF_P4D_HN_KNEEL_G001_V02,PF_P4D_HN_KNEEL_G001,kneeling_half_kneeling,V3_DEV,person_fallen,v3.0,PROMPT_DERIVED_SYNTHETIC_GT,false,0,hard_negative,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_KNEEL_G001_V02.png,38c3a9f6b0845df3485b2c702a472214d3be34ca9920ff9c9c57de0f4471fa9d,20260902_person_fallen_v3_codex_clean,ai_generated,real_single_view,development_only,/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv,codex,CODEX_SAFE_STAGED_CV_V1,P4D_FAST_CLOSE_CLEAN_LINEAGE_20260901,/home/yanbo/net_vlm_person_fallen_v2_optimization/11_person_fallen_v3_revision/remap/person_fallen_v3_remap_manifest.csv,/home/yanbo/net_vlm_person_fallen_v2_optimization/intake_staging/person_fallen_v3_codex_clean/PF_P4D_HN_KNEEL_G001/PF_P4D_HN_KNEEL_G001_V02.png
PF_P4D_HN_KNEEL_G001_V03,PF_P4D_HN_KNEEL_G001,kneeling_half_kneeling,V3_DEV,person_fallen,v3.0,PROMPT_DERIVED_SYNTHETIC_GT,false,0,hard_negative,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_KNEEL_G001_V03.png,11401cc4cf1c5de04c39b236eb4e881ccfeb1c13c6ddc46c18f90d8982f10c69,20260902_person_fallen_v3_codex_clean,ai_generated,real_single_view,development_only,/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv,codex,CODEX_SAFE_STAGED_CV_V1,P4D_FAST_CLOSE_CLEAN_LINEAGE_20260901,/home/yanbo/net_vlm_person_fallen_v2_optimization/11_person_fallen_v3_revision/remap/person_fallen_v3_remap_manifest.csv,/home/yanbo/net_vlm_person_fallen_v2_optimization/intake_staging/person_fallen_v3_codex_clean/PF_P4D_HN_KNEEL_G001/PF_P4D_HN_KNEEL_G001_V03.png
PF_P4D_HN_KNEEL_G001_V04,PF_P4D_HN_KNEEL_G001,kneeling_half_kneeling,V3_DEV,person_fallen,v3.0,PROMPT_DERIVED_SYNTHETIC_GT,false,0,hard_negative,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_KNEEL_G001_V04.png,2c093d94b424768d249311d77f5db08f08dfa75652fe27d593876b6969861e0b,20260902_person_fallen_v3_codex_clean,ai_generated,real_single_view,development_only,/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv,codex,CODEX_SAFE_STAGED_CV_V1,P4D_FAST_CLOSE_CLEAN_LINEAGE_20260901,/home/yanbo/net_vlm_person_fallen_v2_optimization/11_person_fallen_v3_revision/remap/person_fallen_v3_remap_manifest.csv,/home/yanbo/net_vlm_person_fallen_v2_optimization/intake_staging/person_fallen_v3_codex_clean/PF_P4D_HN_KNEEL_G001/PF_P4D_HN_KNEEL_G001_V04.png
PF_P4D_HN_KNEEL_G001_V05,PF_P4D_HN_KNEEL_G001,kneeling_half_kneeling,V3_DEV,person_fallen,v3.0,PROMPT_DERIVED_SYNTHETIC_GT,false,0,hard_negative,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_KNEEL_G001_V05.png,09a9ddb251ef17d648fe89ad2696147b574fcb96b0eb2f5481f6405f7b048fbc,20260902_person_fallen_v3_codex_clean,ai_generated,real_single_view,development_only,/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv,codex,CODEX_SAFE_STAGED_CV_V1,P4D_FAST_CLOSE_CLEAN_LINEAGE_20260901,/home/yanbo/net_vlm_person_fallen_v2_optimization/11_person_fallen_v3_revision/remap/person_fallen_v3_remap_manifest.csv,/home/yanbo/net_vlm_person_fallen_v2_optimization/intake_staging/person_fallen_v3_codex_clean/PF_P4D_HN_KNEEL_G001/PF_P4D_HN_KNEEL_G001_V05.png
