generation_group_id,staging_directory,image_count,taxonomy,v3_split,event_label,sample_role,capture_batch,scenario_id,source_reference,notes
PF_P4D_HN_CRAWL_G001,/home/yanbo/net_vlm_person_fallen_v2_optimization/intake_staging/person_fallen_v3_codex_clean/PF_P4D_HN_CRAWL_G001,5,crawling_quadruped_support,V3_DEV,1,positive,20260902_person_fallen_v3_codex_clean,PF_P4D_HN_CRAWL_G001,/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv,person_fallen v3.0; GT_TYPE=PROMPT_DERIVED_SYNTHETIC_GT; HUMAN_SEMANTIC_REVIEW_REQUIRED=false; provider=codex; runtime=CODEX_SAFE_STAGED_CV_V1; generation_revision=P4D_FAST_CLOSE_CLEAN_LINEAGE_20260901; generation_group_id=PF_P4D_HN_CRAWL_G001; taxonomy=crawling_quadruped_support; planned_split=V3_DEV; item_provenance_manifest=/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv
PF_P4D_HN_KNEEL_G001,/home/yanbo/net_vlm_person_fallen_v2_optimization/intake_staging/person_fallen_v3_codex_clean/PF_P4D_HN_KNEEL_G001,5,kneeling_half_kneeling,V3_DEV,0,hard_negative,20260902_person_fallen_v3_codex_clean,PF_P4D_HN_KNEEL_G001,/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv,person_fallen v3.0; GT_TYPE=PROMPT_DERIVED_SYNTHETIC_GT; HUMAN_SEMANTIC_REVIEW_REQUIRED=false; provider=codex; runtime=CODEX_SAFE_STAGED_CV_V1; generation_revision=P4D_FAST_CLOSE_CLEAN_LINEAGE_20260901; generation_group_id=PF_P4D_HN_KNEEL_G001; taxonomy=kneeling_half_kneeling; planned_split=V3_DEV; item_provenance_manifest=/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv
PF_P4D_HN_KNEEL_G002,/home/yanbo/net_vlm_person_fallen_v2_optimization/intake_staging/person_fallen_v3_codex_clean/PF_P4D_HN_KNEEL_G002,5,kneeling_half_kneeling,V3_DEV,0,hard_negative,20260902_person_fallen_v3_codex_clean,PF_P4D_HN_KNEEL_G002,/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv,person_fallen v3.0; GT_TYPE=PROMPT_DERIVED_SYNTHETIC_GT; HUMAN_SEMANTIC_REVIEW_REQUIRED=false; provider=codex; runtime=CODEX_SAFE_STAGED_CV_V1; generation_revision=P4D_FAST_CLOSE_CLEAN_LINEAGE_20260901; generation_group_id=PF_P4D_HN_KNEEL_G002; taxonomy=kneeling_half_kneeling; planned_split=V3_DEV; item_provenance_manifest=/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv
PF_P4D_HN_KNEEL_G003,/home/yanbo/net_vlm_person_fallen_v2_optimization/intake_staging/person_fallen_v3_codex_clean/PF_P4D_HN_KNEEL_G003,5,kneeling_half_kneeling,V3_DEV,0,hard_negative,20260902_person_fallen_v3_codex_clean,PF_P4D_HN_KNEEL_G003,/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv,person_fallen v3.0; GT_TYPE=PROMPT_DERIVED_SYNTHETIC_GT; HUMAN_SEMANTIC_REVIEW_REQUIRED=false; provider=codex; runtime=CODEX_SAFE_STAGED_CV_V1; generation_revision=P4D_FAST_CLOSE_CLEAN_LINEAGE_20260901; generation_group_id=PF_P4D_HN_KNEEL_G003; taxonomy=kneeling_half_kneeling; planned_split=V3_DEV; item_provenance_manifest=/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv
PF_P4D_HN_KNEEL_G004,/home/yanbo/net_vlm_person_fallen_v2_optimization/intake_staging/person_fallen_v3_codex_clean/PF_P4D_HN_KNEEL_G004,5,kneeling_half_kneeling,V3_DEV,0,hard_negative,20260902_person_fallen_v3_codex_clean,PF_P4D_HN_KNEEL_G004,/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv,person_fallen v3.0; GT_TYPE=PROMPT_DERIVED_SYNTHETIC_GT; HUMAN_SEMANTIC_REVIEW_REQUIRED=false; provider=codex; runtime=CODEX_SAFE_STAGED_CV_V1; generation_revision=P4D_FAST_CLOSE_CLEAN_LINEAGE_20260901; generation_group_id=PF_P4D_HN_KNEEL_G004; taxonomy=kneeling_half_kneeling; planned_split=V3_DEV; item_provenance_manifest=/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv
PF_P4D_HN_KNEEL_G005,/home/yanbo/net_vlm_person_fallen_v2_optimization/intake_staging/person_fallen_v3_codex_clean/PF_P4D_HN_KNEEL_G005,5,kneeling_half_kneeling,V3_DEV,0,hard_negative,20260902_person_fallen_v3_codex_clean,PF_P4D_HN_KNEEL_G005,/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv,person_fallen v3.0; GT_TYPE=PROMPT_DERIVED_SYNTHETIC_GT; HUMAN_SEMANTIC_REVIEW_REQUIRED=false; provider=codex; runtime=CODEX_SAFE_STAGED_CV_V1; generation_revision=P4D_FAST_CLOSE_CLEAN_LINEAGE_20260901; generation_group_id=PF_P4D_HN_KNEEL_G005; taxonomy=kneeling_half_kneeling; planned_split=V3_DEV; item_provenance_manifest=/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv
PF_P4D_HN_KNEEL_G006,/home/yanbo/net_vlm_person_fallen_v2_optimization/intake_staging/person_fallen_v3_codex_clean/PF_P4D_HN_KNEEL_G006,5,kneeling_half_kneeling,V3_DEV,0,hard_negative,20260902_person_fallen_v3_codex_clean,PF_P4D_HN_KNEEL_G006,/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv,person_fallen v3.0; GT_TYPE=PROMPT_DERIVED_SYNTHETIC_GT; HUMAN_SEMANTIC_REVIEW_REQUIRED=false; provider=codex; runtime=CODEX_SAFE_STAGED_CV_V1; generation_revision=P4D_FAST_CLOSE_CLEAN_LINEAGE_20260901; generation_group_id=PF_P4D_HN_KNEEL_G006; taxonomy=kneeling_half_kneeling; planned_split=V3_DEV; item_provenance_manifest=/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv
PF_P4D_HN_KNEEL_G007,/home/yanbo/net_vlm_person_fallen_v2_optimization/intake_staging/person_fallen_v3_codex_clean/PF_P4D_HN_KNEEL_G007,5,kneeling_half_kneeling,V3_DEV,0,hard_negative,20260902_person_fallen_v3_codex_clean,PF_P4D_HN_KNEEL_G007,/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv,person_fallen v3.0; GT_TYPE=PROMPT_DERIVED_SYNTHETIC_GT; HUMAN_SEMANTIC_REVIEW_REQUIRED=false; provider=codex; runtime=CODEX_SAFE_STAGED_CV_V1; generation_revision=P4D_FAST_CLOSE_CLEAN_LINEAGE_20260901; generation_group_id=PF_P4D_HN_KNEEL_G007; taxonomy=kneeling_half_kneeling; planned_split=V3_DEV; item_provenance_manifest=/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv
PF_P4D_HN_KNEEL_G008,/home/yanbo/net_vlm_person_fallen_v2_optimization/intake_staging/person_fallen_v3_codex_clean/PF_P4D_HN_KNEEL_G008,5,kneeling_half_kneeling,V3_SCREEN,0,hard_negative,20260902_person_fallen_v3_codex_clean,PF_P4D_HN_KNEEL_G008,/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv,person_fallen v3.0; GT_TYPE=PROMPT_DERIVED_SYNTHETIC_GT; HUMAN_SEMANTIC_REVIEW_REQUIRED=false; provider=codex; runtime=CODEX_SAFE_STAGED_CV_V1; generation_revision=P4D_FAST_CLOSE_CLEAN_LINEAGE_20260901; generation_group_id=PF_P4D_HN_KNEEL_G008; taxonomy=kneeling_half_kneeling; planned_split=V3_SCREEN; item_provenance_manifest=/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv
PF_P4D_HN_KNEEL_G009,/home/yanbo/net_vlm_person_fallen_v2_optimization/intake_staging/person_fallen_v3_codex_clean/PF_P4D_HN_KNEEL_G009,5,kneeling_half_kneeling,V3_SCREEN,0,hard_negative,20260902_person_fallen_v3_codex_clean,PF_P4D_HN_KNEEL_G009,/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv,person_fallen v3.0; GT_TYPE=PROMPT_DERIVED_SYNTHETIC_GT; HUMAN_SEMANTIC_REVIEW_REQUIRED=false; provider=codex; runtime=CODEX_SAFE_STAGED_CV_V1; generation_revision=P4D_FAST_CLOSE_CLEAN_LINEAGE_20260901; generation_group_id=PF_P4D_HN_KNEEL_G009; taxonomy=kneeling_half_kneeling; planned_split=V3_SCREEN; item_provenance_manifest=/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv
PF_P4D_HN_MAINT_G002,/home/yanbo/net_vlm_person_fallen_v2_optimization/intake_staging/person_fallen_v3_codex_clean/PF_P4D_HN_MAINT_G002,5,ground_maintenance,V3_DEV,0,hard_negative,20260902_person_fallen_v3_codex_clean,PF_P4D_HN_MAINT_G002,/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv,person_fallen v3.0; GT_TYPE=PROMPT_DERIVED_SYNTHETIC_GT; HUMAN_SEMANTIC_REVIEW_REQUIRED=false; provider=codex; runtime=CODEX_SAFE_STAGED_CV_V1; generation_revision=P4D_FAST_CLOSE_CLEAN_LINEAGE_20260901; generation_group_id=PF_P4D_HN_MAINT_G002; taxonomy=ground_maintenance; planned_split=V3_DEV; item_provenance_manifest=/home/yanbo/net_vlm_person_fallen_v2_optimization/reports/person_fallen_v3_codex_ingest_manifest.csv
